,speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
8,22.499999999999996,20.0,60.0,15.0,12.500000000000005,12.5,12.502960934301068,12.5,12.500000000000002,12.505056468708252,12.502786976115425,12.5
16,21.17647058823529,20.0,65.0,15.0,11.766525638883547,11.764705882352942,11.767870212186745,11.764752605313715,11.76528846180568,11.767230220351403,11.766361655995828,11.764705882352942
24,20.0,20.0,70.0,15.0,11.111413252570657,11.11111111111111,11.112880914275703,11.11111111111111,11.112855839670768,11.113351312851494,11.114128510082386,11.11111111111111
32,18.94736842105263,20.0,75.0,15.0,10.527563784391262,10.526315789473685,10.527505134741515,10.526315789473685,10.527417057477031,10.528568718683548,10.527525415675564,10.52851103438544
40,17.999999999999996,20.0,80.0,15.0,10.0,10.0,10.002326236083354,10.0,10.0,10.004053350349668,10.002207193849085,10.0
48,17.142857142857142,20.0,85.0,15.0,9.524790180007605,9.523809523809524,9.524905793190918,9.523809523809524,9.52493985679713,9.525848915695297,9.524925320008808,9.525800893594617
56,16.363636363636363,20.0,90.0,15.0,9.09110449615426,9.090909090909092,9.093355969830569,9.090909090909092,9.092440485263827,9.092760408021952,9.092433834113592,9.090909090909092
64,15.652173913043477,20.0,95.0,15.0,8.695700006557525,8.695652173913043,8.697797386378717,8.695652173913043,8.696371847831381,8.6984630514619,8.697341788476196,8.695652173913043
72,14.999999999999998,20.0,100.0,15.0,8.334614682783371,8.333333333333334,8.334415207647938,8.333333333333334,8.333846393820613,8.33502086414418,8.33564076656303,8.333333333333334
80,14.399999999999999,20.0,105.0,15.0,8.0,8.0,8.001807950400536,8.0,7.999982993800281,8.003443403170397,8.001807950400536,8.0
88,13.846153846153845,20.0,110.0,15.0,7.692424123778825,7.6923076923076925,7.694339319603224,7.6923076923076925,7.693652220528065,7.693878817758877,7.693644958557911,7.6923076923076925
96,13.33333333333333,20.0,115.0,15.0,7.407492754866276,7.407407407407407,7.408689523090535,7.407407407407407,7.408687910219914,7.408993601096344,7.409342203663598,7.407407407407407
104,12.857142857142854,20.0,120.0,15.0,7.1441238908450115,7.142857142857143,7.144124659546275,7.142857142857143,7.142949709553162,7.144307845657435,7.144708502584482,7.142857142857143
112,12.413793103448276,20.0,125.0,15.0,6.896574769579622,6.896551724137931,6.898237089395056,6.896551724137931,6.897149377842226,6.898790814897087,6.897943045059087,6.896551724137931
120,12.0,20.0,130.0,15.0,6.667712413384192,6.666666666666667,6.6686085575290575,6.666666666666667,6.667038297288581,6.668026785091668,6.66750567447014,6.666666666666667
128,11.61290322580645,20.0,135.0,15.0,6.451716427786113,6.452867777080973,6.453114349692717,6.451612903225806,6.451609530366279,6.453005658231179,6.452962838705013,6.451612903225806
136,11.249999999999998,20.0,140.0,15.0,6.250000000000001,6.2512751758816165,6.251389834094794,6.25,6.25,6.251273103687254,6.251368867887813,6.25
144,10.909090909090908,20.0,145.0,15.0,6.061674144569301,6.0606060606060606,6.062296763003501,6.0606060606060606,6.0607500268020456,6.06191773860518,6.061534908916174,6.0606060606060606
