,speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
8,1.111111111111111,20.0,1600.0,15.0,0.6173255404034136,0.6172839506172839,0.6173711038755381,0.6172839506172839,0.617387545624012,0.6174216770245538,0.6175071346773806,0.6172839506172839
16,1.1076923076923075,25.0,1600.0,15.0,0.615426491335398,0.6153846153846154,0.6154988956307693,0.6153846153846154,0.6155212428427053,0.6155586155060258,0.6156566642991669,0.6153846153846154
24,1.1042944785276072,30.0,1600.0,15.0,0.6135361669814805,0.6134969325153374,0.6136417484874934,0.6134969325153374,0.6136702788733817,0.6137039304993052,0.6138132234820811,0.6134969325153374
32,1.1009174311926604,35.0,1600.0,15.0,0.6116551346642374,0.6116207951070336,0.6117999817543733,0.6116207951070336,0.611830715121907,0.6118646386200427,0.6119768502101938,0.6116207951070336
40,1.097560975609756,40.0,1600.0,15.0,0.6097840187757715,0.6097560975609756,0.6099749495570842,0.6097560975609756,0.610004327280775,0.6100321969797471,0.6101471778777298,0.6097560975609756
48,1.094224924012158,45.0,1600.0,15.0,0.6079234825948822,0.60790273556231,0.6081646617407059,0.60790273556231,0.6081878688431946,0.6082138879003264,0.6083251151379793,0.60790273556231
56,1.0909090909090906,50.0,1600.0,15.0,0.6060742103196884,0.6060606060606061,0.6063699450704584,0.6060606060606061,0.606382479984933,0.6064028203095885,0.6065082467075618,0.6060606060606061
64,1.0876132930513593,55.0,1600.0,15.0,0.6042368891730455,0.6042296072507553,0.6045906191454428,0.6042296072507553,0.6045854322138801,0.6046056163250557,0.6046975226693075,0.6042296072507553
72,1.08433734939759,60.0,1600.0,15.0,0.6024121917708033,0.6024096385542169,0.6028280405614099,0.6024096385542169,0.6027973662220598,0.6028157674930921,0.6028929665644115,0.6024096385542169
80,1.081081081081081,65.0,1600.0,15.0,0.6006007590366538,0.6006006006006006,0.6010785614644907,0.6006006006006006,0.6006982808449705,0.6014216168032516,0.6010964992593281,0.6006006006006006
88,1.0778443113772453,70.0,1600.0,15.0,0.5988031839674421,0.5988023952095808,0.5993431609551078,0.5988023952095808,0.5991184161962345,0.5995824835272227,0.5993048941928621,0.5988023952095808
96,1.0746268656716416,75.0,1600.0,15.0,0.5970199965439895,0.5970149253731343,0.597621330277723,0.5970149253731343,0.597586339821027,0.5976284891726492,0.5975201295848697,0.5970149253731343
104,1.0714285714285714,80.0,1600.0,15.0,0.5952516500590619,0.5952380952380952,0.5959141925533171,0.5952380952380952,0.5958390444145111,0.5958868407095067,0.5957426182070984,0.5952380952380952
112,1.0682492581602372,85.0,1600.0,15.0,0.5934985091021348,0.5934718100890207,0.5942168182564509,0.5934718100890207,0.5940974056474448,0.5941594335294521,0.5939750495115738,0.5934718100890207
120,1.0650887573964496,90.0,1600.0,15.0,0.5917608394030354,0.591715976331361,0.5925303179771401,0.591715976331361,0.5923612925572083,0.5924377177072557,0.5922136421068825,0.591715976331361
128,1.0619469026548671,95.0,1600.0,15.0,0.5900387996955496,0.5899705014749262,0.5908537801905619,0.5899705014749262,0.5906302101973961,0.5907299906567076,0.590461132028694,0.5899705014749262
136,1.0588235294117647,100.0,1600.0,15.0,0.5883324357192565,0.5882352941176471,0.5891884729701368,0.5882352941176471,0.5889034882664959,0.5890279352788882,0.5887181755160167,0.5882352941176471
144,1.0557184750733137,105.0,1600.0,15.0,0.5866416764346079,0.5865102639296188,0.5875289306701301,0.5865102639296188,0.5871815345226165,0.5873396185662221,0.5869877480180516,0.5865102639296188
152,1.0526315789473684,110.0,1600.0,15.0,0.5849663324839611,0.5847953216374269,0.5858763471581963,0.5847953216374269,0.5854631448249468,0.5856570202787668,0.5852659339757422,0.584795321637427
160,1.0495626822157433,115.0,1600.0,15.0,0.583306111793795,0.5830903790087464,0.5842297850133483,0.5830903790087464,0.5837496464622883,0.5839884744517863,0.5835557330504982,0.5830903790087464
168,1.0465116279069766,120.0,1600.0,15.0,0.5816605764217606,0.5813953488372093,0.5825901864180443,0.5813953488372093,0.5820393334798262,0.5823253654080055,0.5818578284960898,0.5813953488372093
176,1.043478260869565,125.0,1600.0,15.0,0.5800291948889092,0.5797101449275363,0.5809530349873379,0.5797101449275363,0.5803344146786554,0.580675520682068,0.5801749091762372,0.5797101449275363
184,1.0404624277456647,130.0,1600.0,15.0,0.5784113330119893,0.5780346820809249,0.579283618168366,0.5781125619730794,0.5786327447303683,0.5790310642967427,0.5785034004731138,0.5780346820809249
192,1.0374639769452447,135.0,1600.0,15.0,0.576806262761145,0.5763688760806917,0.577149544608235,0.5770556831402861,0.5769373183931211,0.5773996537948652,0.5768459883205347,0.5763688760806917
200,1.0344827586206895,140.0,1600.0,15.0,0.5752131759149254,0.5747126436781609,0.5752711602089801,0.5757782896925503,0.57524564427845,0.5757735714813625,0.5752031589621155,0.5747126436781609
208,1.0315186246418337,145.0,1600.0,15.0,0.5736312250133299,0.5730659025787965,0.5740841463677894,0.5737194222137614,0.5735613518997026,0.574160320070379,0.5735768304184244,0.5730659025787965
216,1.0285714285714285,150.0,1600.0,15.0,0.5720594260304354,0.5714285714285714,0.5730511065337945,0.5715114816894853,0.5718816968652884,0.572552328986248,0.5719641498300517,0.5714285714285714
224,1.0256410256410255,155.0,1600.0,15.0,0.5704967956480597,0.5698005698005698,0.5716155373325047,0.5698005698005699,0.5702107697853294,0.5709571703354844,0.5703669921548217,0.5698005698005698
232,1.0227272727272727,160.0,1600.0,15.0,0.5689423226340987,0.5681818181818181,0.5700381358666754,0.5681818181818182,0.5685457755602681,0.5693673816372332,0.5687854767490772,0.5681818181818183
240,1.0198300283286117,165.0,1600.0,15.0,0.5673949987896801,0.56657223796034,0.5684605820240117,0.56657223796034,0.5668909756741377,0.5677900170885695,0.5672204572824403,0.56657223796034
248,1.0169491525423728,170.0,1600.0,15.0,0.5658538214245343,0.5649717514124293,0.566884693468641,0.5649717514124295,0.5652436552892612,0.5662176906350062,0.5656699873545068,0.5649717514124294
256,1.0140845070422533,175.0,1600.0,15.0,0.5643177538858795,0.5633802816901409,0.5653102282531602,0.5633802816901408,0.5636080044623627,0.5646575925850229,0.564134867819223,0.5633802816901409
264,1.0112359550561796,180.0,1600.0,15.0,0.56278583700071,0.5617977528089888,0.563738190056459,0.5617977528089888,0.5619815598002691,0.5631024616715047,0.562614796095497,0.5617977528089888
272,1.0084033613445376,185.0,1600.0,15.0,0.5612571653469193,0.5602240896358543,0.5621660290816523,0.5602240896358542,0.5603681515715381,0.5615593669544575,0.5611096161781732,0.5602240896358545
280,1.0055865921787708,190.0,1600.0,15.0,0.5597309027856529,0.5586592178770949,0.5605951494558852,0.5586592178770949,0.5587657260498595,0.5600211657806101,0.559618129800294,0.5586592178770949
288,1.0027855153203342,195.0,1600.0,15.0,0.5582063084767083,0.5571030640668523,0.5590257018588123,0.5571030640668523,0.5571775377792605,0.5584948124705048,0.5581400981544691,0.5571030640668523
296,0.9999999999999999,200.0,1600.0,15.0,0.5566827260951753,0.5555555555555556,0.557458354727782,0.5555555555555556,0.5556021152405412,0.5569735112812461,0.5566748263003269,0.5555555555555556
304,0.9972299168975068,205.0,1600.0,15.0,0.5549748003959373,0.5542774405158205,0.5558924692258761,0.5540166204986149,0.5540418240247489,0.5554639634285481,0.5552214851730172,0.554016620498615
312,0.9944751381215469,210.0,1600.0,15.0,0.5529673898413591,0.5533212633495197,0.5543290653212642,0.5524861878453039,0.5524959024216961,0.5539591054914655,0.5537792123016485,0.5524861878453037
320,0.9917355371900826,215.0,1600.0,15.0,0.5510423856743369,0.5523243114348907,0.5527686680856033,0.5509641873278238,0.5509656458666335,0.5524657432899928,0.552347086822431,0.5509641873278237
328,0.9890109890109888,220.0,1600.0,15.0,0.5494798239040444,0.5509773727020638,0.5512118588025027,0.5494505494505495,0.5494511069109219,0.550976998610784,0.5509241729820767,0.5494505494505495
336,0.9863013698630136,225.0,1600.0,15.0,0.5482886428920872,0.549182782661454,0.5496593174931241,0.5479452054794519,0.547952356117912,0.5494995752762916,0.5495094763991777,0.547945205479452
344,0.983606557377049,230.0,1600.0,15.0,0.5472916449809851,0.5471263472830139,0.5481118347949426,0.546448087431694,0.5464703273151045,0.5480266963999716,0.5481018656474558,0.546448087431694
352,0.9809264305177111,235.0,1600.0,15.0,0.5462619186475638,0.5451420273539843,0.5465702269495575,0.5449591280653953,0.5450037736858737,0.546564967935691,0.5467003702092395,0.5449591280653951
360,0.9782608695652173,240.0,1600.0,15.0,0.5450140722573087,0.5434782608695652,0.5450353070033781,0.5434782608695652,0.5435545344208417,0.5451077110200091,0.5453038579956326,0.5434782608695652
368,0.9756097560975608,245.0,1600.0,15.0,0.5435635952413093,0.5420054200542005,0.543508043334846,0.5420054200542005,0.5421200214243392,0.5436617031527456,0.5439120157559126,0.5420054200542004
376,0.9729729729729728,250.0,1600.0,15.0,0.5421073258419302,0.5405405405405407,0.5419892581879563,0.5405405405405405,0.5407029453664975,0.5422200537604855,0.5425227014537659,0.5405405405405403
384,0.9703504043126684,255.0,1600.0,15.0,0.5406507702925427,0.5390835579514828,0.540479846270538,0.5390835579514824,0.5392994093912811,0.5407892344141795,0.5411354168714329,0.5390835579514824
392,0.9677419354838708,260.0,1600.0,15.0,0.539193780434433,0.5376344086021508,0.5389812195281118,0.5376344086021505,0.5379129712224334,0.5393627032846108,0.5397492665078675,0.5376344086021505
400,0.9651474530831098,265.0,1600.0,15.0,0.5377362992462023,0.5361930294906166,0.5374934181677912,0.5361930294906163,0.5365385754516416,0.5379468427853437,0.5383652127673152,0.5361930294906166
408,0.962566844919786,270.0,1600.0,15.0,0.5362783624460384,0.5347593582887701,0.5360176357072725,0.5347593582887702,0.5351804547376955,0.5365352004330775,0.536979348178438,0.5347593582887701
416,0.9599999999999999,275.0,1600.0,15.0,0.5348200990216901,0.5333333333333331,0.5345546536619193,0.5333333333333335,0.5338325196445904,0.5351340724078708,0.5355924641517028,0.5333333333333335
424,0.9574468085106381,280.0,1600.0,15.0,0.5333617306528643,0.5319148936170213,0.533106771839878,0.5319148936170213,0.5324995774809806,0.5337370928522829,0.5342029786587775,0.5319370238942407
432,0.9549071618037134,285.0,1600.0,15.0,0.5319035700043994,0.5305039787798406,0.5316718778233425,0.5305039787798406,0.5311748314033621,0.5323505447205478,0.5326671382538878,0.5307812851753556
440,0.9523809523809522,290.0,1600.0,15.0,0.5304460178836784,0.5291005291005287,0.5302518359811037,0.5291005291005291,0.529863378264605,0.5309681986700852,0.5309219654910856,0.5298516367438475
448,0.9498680738786278,295.0,1600.0,15.0,0.5289895592719958,0.5277044854881267,0.5288471695197781,0.5277044854881267,0.5285579599449397,0.5295960734270806,0.529124590671689,0.5289903685553378
456,0.9473684210526314,300.0,1600.0,15.0,0.5275347687558443,0.5263157894736842,0.5274612629980023,0.5263157894736842,0.5272638458481611,0.5282279298178236,0.5274382937426825,0.5280400995148816
464,0.9448818897637794,305.0,1600.0,15.0,0.5260822833018922,0.5249343832020997,0.5260889314673901,0.5249343832020995,0.5259735919547186,0.5268698606027613,0.5259707307930624,0.5268725956578691
472,0.9424083769633507,310.0,1600.0,15.0,0.5246327951647521,0.5235602094240835,0.5247329903824379,0.5235602094240838,0.5246923679441027,0.5255157069163116,0.5247313869087546,0.5254413470509783
480,0.9399477806788511,315.0,1600.0,15.0,0.5231870648535168,0.5221932114882509,0.5233935690412532,0.5221932114882507,0.5234129514755064,0.5241714840216226,0.523689773798957,0.5237543192250876
488,0.9374999999999999,320.0,1600.0,15.0,0.5217459101915567,0.5208333333333334,0.52207518316114,0.5208333333333334,0.5221401318259117,0.5228311112351447,0.5227659210711831,0.5219129131708785
496,0.9350649350649349,325.0,1600.0,15.0,0.5203101793760732,0.5194805194805194,0.5207691497123877,0.5194805194805198,0.5208672271446961,0.5215005284206179,0.5218543621055016,0.5200795869950087
504,0.9326424870466321,330.0,1600.0,15.0,0.5188807422368078,0.5181347150259067,0.5194793689530218,0.5181347150259067,0.5195984759021292,0.5201738299255769,0.5209000338169445,0.5183429284524992
512,0.9302325581395348,335.0,1600.0,15.0,0.5174584965536666,0.5167958656330749,0.5182055358560608,0.5167958656330749,0.518328022592486,0.5188568596022025,0.5198205467515683,0.5168101857361016
520,0.9278350515463917,340.0,1600.0,15.0,0.5160443548362843,0.5154639175257731,0.5169531671456075,0.5154639175257731,0.5170593229819652,0.517543587022943,0.5185777771826761,0.5154639175257731
528,0.9254498714652956,345.0,1600.0,15.0,0.5146392098920154,0.5141388174807198,0.5157102368851956,0.5141388174807201,0.5157876943295907,0.5162398401689228,0.5172758907792169,0.5141388174807201
536,0.923076923076923,350.0,1600.0,15.0,0.5132439496434025,0.5128205128205131,0.5144817039412662,0.5128205128205128,0.5145156098590912,0.5149397292267772,0.5159682901837529,0.5128205128205128
544,0.9207161125319692,355.0,1600.0,15.0,0.5118594386142212,0.511508951406649,0.513266885603016,0.511508951406649,0.5132397921066009,0.5136490116249686,0.5146585453393377,0.5115089514066496
552,0.9183673469387754,360.0,1600.0,15.0,0.5104865035391156,0.5102040816326531,0.512072001441353,0.5102040816326531,0.511961598707335,0.5123618689128996,0.513346643872839,0.5102040816326531
560,0.9160305343511449,365.0,1600.0,15.0,0.5091259255464525,0.5089058524173028,0.5108823695033854,0.5089058524173028,0.5106792839131525,0.5110839896649102,0.5120381588794842,0.5089058524173028
568,0.9137055837563451,370.0,1600.0,15.0,0.5077784318744825,0.5076142131979705,0.5097038600783784,0.5076142131979695,0.5092936878739743,0.5099972318581367,0.510722596050247,0.5076142131979698
576,0.911392405063291,375.0,1600.0,15.0,0.5064446855993421,0.5063291139240507,0.5085354562661404,0.5063291139240507,0.507751161126527,0.5091136084916836,0.5094053377982857,0.5063291139240503
584,0.9090909090909091,380.0,1600.0,15.0,0.5051252779444614,0.5050505050505047,0.5073837014073538,0.5050505050505051,0.5060939963548051,0.5083845415438033,0.5080867090246208,0.5050505050505051
592,0.9068010075566749,385.0,1600.0,15.0,0.5038207229778778,0.5037783375314862,0.5062324275405237,0.5037783375314858,0.5044306969516126,0.5077011819365642,0.5067738738340347,0.5037783375314862
600,0.9045226130653266,390.0,1600.0,15.0,0.502531448705934,0.50251256281407,0.5050880221512869,0.50251256281407,0.5028140813473221,0.5070144790698242,0.5054540632891914,0.50251256281407
608,0.9022556390977442,395.0,1600.0,15.0,0.5012577930893504,0.5012531328320802,0.5039493337237907,0.5012531328320798,0.5013317209789037,0.506220842881848,0.5041343126071104,0.5012531328320798
616,0.8999999999999999,400.0,1600.0,15.0,0.4999999999999979,0.5,0.5028226906080692,0.5,0.5,0.5052803117925548,0.5028152437003574,0.5
624,0.8977556109725685,405.0,1600.0,15.0,0.49875821625358785,0.49875311720698323,0.5016919278507982,0.4987531172069829,0.4988287202907763,0.5041482123234607,0.5015051510946095,0.4987531172069829
632,0.8955223880597013,410.0,1600.0,15.0,0.4975324897211083,0.4975124378109456,0.5005634629046786,0.49751243781094595,0.4978044997915191,0.5028080673837787,0.5001896720164041,0.49751243781094595
